name,s_no,total_cases,new_cases,total_deaths,new_deaths,total_recovered,new_recovered,active_cases,serious_critical,total_per_m,death_per_m,tests,tests_per_m,population
Qatar,20,86488.0,1026.0,94.0,1.0,66763.0,1354.0,19631.0,224.0,30803.0,33.0,317694.0,113147.0,2807805.0
China,215,83352.0,27.0,4634.0,,78410.0,12.0,308.0,11.0,58.0,3.0,,,1439323776.0
Colombia,21,63276.0,,2045.0,,23988.0,,37243.0,335.0,1244.0,40.0,568324.0,11173.0,50865177.0
Belgium,22,60550.0,74.0,9696.0,1.0,16771.0,20.0,34083.0,50.0,5225.0,837.0,1098910.0,94831.0,11588139.0
Belarus,23,57936.0,603.0,343.0,6.0,36749.0,1474.0,20844.0,92.0,6131.0,36.0,842173.0,89124.0,9449407.0
Sweden,24,56043.0,,5053.0,,,,,272.0,5550.0,500.0,385659.0,38194.0,10097352.0
Egypt,25,52211.0,,2017.0,,13928.0,,36266.0,41.0,511.0,20.0,135000.0,1320.0,102263012.0
Ecuador,26,49731.0,,4156.0,,24446.0,,21129.0,234.0,2820.0,236.0,137930.0,7822.0,17633668.0
Netherlands,27,49502.0,76.0,6089.0,8.0,,,,57.0,2889.0,355.0,517317.0,30193.0,17133798.0
Indonesia,28,45029.0,1226.0,2429.0,56.0,17883.0,534.0,24717.0,,165.0,9.0,621156.0,2272.0,273429272.0
UAE,29,44533.0,388.0,301.0,1.0,31754.0,758.0,12478.0,1.0,4504.0,30.0,3038000.0,307291.0,9886410.0
Singapore,30,41833.0,218.0,26.0,,34224.0,765.0,7583.0,1.0,7152.0,4.0,576189.0,98512.0,5848906.0
Argentina,31,39570.0,,980.0,1.0,12206.0,355.0,26384.0,353.0,876.0,22.0,264604.0,5856.0,45182547.0
Kuwait,32,39145.0,467.0,319.0,6.0,30726.0,536.0,8100.0,180.0,9171.0,75.0,351636.0,82382.0,4268372.0
Portugal,33,38841.0,377.0,1528.0,1.0,24906.0,429.0,12407.0,70.0,3809.0,150.0,1047109.0,102683.0,10197475.0
Ukraine,34,35825.0,841.0,994.0,9.0,16406.0,373.0,18425.0,345.0,819.0,23.0,553737.0,12660.0,43740134.0
Poland,35,31620.0,304.0,1346.0,12.0,16181.0,483.0,14093.0,72.0,835.0,36.0,1320399.0,34887.0,37847717.0
Switzerland,36,31243.0,8.0,1956.0,,28900.0,,387.0,16.0,3611.0,226.0,502371.0,58060.0,8652664.0
Philippines,37,29400.0,941.0,1150.0,20.0,7650.0,272.0,20600.0,82.0,268.0,10.0,580346.0,5298.0,109531422.0
Iraq,38,29222.0,1870.0,1013.0,88.0,13211.0,1006.0,14998.0,212.0,727.0,25.0,425192.0,10580.0,40187366.0
Oman,39,28566.0,896.0,128.0,3.0,14780.0,806.0,13658.0,99.0,5600.0,25.0,154232.0,30234.0,5101359.0
Afghanistan,40,28424.0,546.0,569.0,21.0,8292.0,330.0,19563.0,19.0,731.0,15.0,63951.0,1644.0,38894188.0
Dominican Republic,41,25778.0,710.0,655.0,8.0,14957.0,352.0,10166.0,174.0,2377.0,60.0,122646.0,11310.0,10844393.0
Ireland,42,25374.0,6.0,1715.0,1.0,22698.0,,961.0,16.0,5141.0,347.0,396584.0,80346.0,4935970.0
Panama,43,24274.0,,485.0,,14359.0,,9430.0,107.0,5629.0,112.0,102703.0,23816.0,4312367.0
Romania,44,23730.0,330.0,1500.0,16.0,16735.0,180.0,5495.0,190.0,1233.0,78.0,619997.0,32223.0,19240762.0
Bolivia,45,22476.0,977.0,715.0,18.0,4670.0,668.0,17091.0,71.0,1926.0,61.0,55114.0,4724.0,11667572.0
Bahrain,46,20916.0,,59.0,2.0,15287.0,,5570.0,34.0,12312.0,35.0,462627.0,272315.0,1698868.0
Israel,47,20339.0,,304.0,,15586.0,,4449.0,39.0,2211.0,33.0,804743.0,87495.0,9197590.0
Armenia,48,19708.0,551.0,332.0,13.0,8854.0,588.0,10522.0,10.0,6651.0,112.0,93786.0,31651.0,2963087.0
Nigeria,49,19147.0,,487.0,,6581.0,,12079.0,7.0,93.0,2.0,108548.0,527.0,205934216.0
Japan,50,17740.0,,935.0,,16008.0,,797.0,62.0,140.0,7.0,403380.0,3189.0,126486413.0
Austria,51,17323.0,52.0,688.0,,16175.0,34.0,460.0,8.0,1924.0,76.0,558208.0,61990.0,9004851.0
