,Name,Date,Configuration,Verified,Rating,Heading,Review
140,Shiva Krishna Mendu,2020-06-13,Fire TV Stick,False,5.0,Very convenient to use and best quality,"I am wriring this after 10months of ussage, very convenient to use it.. no problems occurred till now"
141,vinay kumar,2020-06-13,Fire TV Stick,True,5.0,Nice good looking performance,"I loved it
but it would have been designed in India"
142,Ravi makhija,2020-06-13,Fire TV Stick,True,4.0,Hicup buy but all well,"Please treat this as an update and no complain, batteries provided with the product had leaked, initially it wasn't noticed, thought remote was not working and i was an unlucky one to receive, but once new battery was inserted it worked just fine."
143,Naveen Gowda,2020-06-13,Fire TV Stick,True,3.0,Old remote not working with new replaced firestick,Old Remote is not working with the new firestick after replacement... Today 13th June 2020
144,lalit,2020-06-13,Fire TV Stick,True,1.0,Worst,At times the remote Joy stock not working and the battery goes offline mode
145,Akash nagpal,2020-06-13,Fire TV Stick,True,5.0,Good product,Awesome product
146,Sukham,2020-06-12,Fire TV Stick,True,1.0,Upgrade not completing,The fire tv stick began with the software upgrade. The process seems to be never ending and keeps showing the loading strip but once it completes it starts again. Even tried connecting with original adapter and power cord that came with the box. None of it seems to help.
147,Amazon Customer,2020-06-12,Fire TV Stick,True,1.0,I bought it on 15 july 2019 and it stopped working in april 2020.,"I bought it on 15 july 2019 and it stopped working in april 2020, Not even one year completed. The device is stuck on amazon logo... No clear procedure how to claim warranty. No toll free number working. I want the device replaced on top priority.. 8239033111"
148,Nemi Chand,2020-06-12,Fire TV Stick,True,1.0,I am not satisfied,Device is not working properly Volume not up dwon by remote
149,rajeev,2020-06-12,Fire TV Stick,True,5.0,Awesome,Good
150,Amazon Customer,2020-06-12,Fire TV Stick,True,1.0,Don't buy this.,"Never had as many issues with any device as this one.
Bought in February 2020. Once a month, it would freeze and needed a factory reset, a tedious process given that you need to pair the remote again. Faster two resets in March and April, it refused to pair the remote altogether, rendering the device useless. Thanks to the pandemic, Amazon was unable to replace the remote and the device was completely useless during two months of lockdown, a time when it should have been in use the maximum.
After the remote was replaced, plugged in the device for the first time to the TV, it showed the Amazon logo twice and then completely went off, just a big black blank screen.
Contacting support is a painful process, with options unavailable from the order page.
You're better off buying a chromecast or an Android TV, or even a simple HDMI cable that hooks your computer to the TV. At least it works, and is reliable."
151,Amazon Customer,2020-06-12,Fire TV Stick,True,4.0,Good product,"Product is good, battery provided for remote was not working as it was old, rest everything is good"
152,RM,2020-06-12,Fire TV Stick,True,5.0,Best buy!,Best alternate to a smart tv.. converting a non smart tv into web world. Love it! Gifted to my dad and he is enjoying as no longer had to watch on his mobile. Best buy!
153,Ramya,2020-06-12,Fire TV Stick,True,5.0,Useful,Good device
154,Ajay Joshi,2020-06-12,Fire TV Stick,True,3.0,Great product with one major flaw,"I have been using the Fire TV for over a year. It works well. I really like it.
One major negative though is the battery life of remote. It is unbelievably bad. The battery does not last more than 3 weeks. So to reduce that expense, I bought a battery charger and bought chargeable batteries. Those dont work.
I would have thought that remote's battery problems were history. I guess in case of amazon, they are not.
Hope they fix it quick."
155,Sankar,2020-06-12,Fire TV Stick,True,5.0,Super,Excellent product
156,GCG,2020-06-12,Fire TV Stick,True,5.0,good,Value for money
157,Apra,2020-06-12,Fire TV Stick,True,5.0,Excellent product must buy,"Excellent product
Compatible with all TV’s
Makes streaming so easy and fast with great picture quality
I am enjoying it
Total value for money
Highly recommended"
158,Meet,2020-06-12,Fire TV Stick,True,5.0,Best solution if u can't afford smart tv,"it delivers what it says !! only thing is it would be better if they could incorporate more apps..it would make it perfect..
Go for it if ur tv is not smart and u dont want to spend big on smart tv"
159,Rajendra Desai,2020-06-12,Fire TV Stick,True,5.0,ITS WORTH IT!,"I love the Amazon Fire TV Stick! I don't know why the batteries provided didn't work. We switched with another device used similar batteries. But we are extremely happy with the product, after the frustrations of installing the Amazon app on our LG TV.
Alexa is doing a great job! Thank you!"
160,MOHANKUMAR,2020-06-12,Fire TV Stick,True,2.0,It is not connecting to my wifi hotspot,not connecting to wifi hot spot. But connecting only with mobile hotspot
161,DEEPAK TANDALE,2020-06-12,Fire TV Stick,True,4.0,Nice,Good product
162,yogeshwar prasad,2020-06-12,Fire TV Stick,True,5.0,Turn you normal TV to smart tv,I am amazed with this product.
163,Melwin Serrao,2020-06-12,Fire TV Stick,True,5.0,Highly recommended,Just perfect solution to convert your tv into smart tv. Highly recommended
164,Yashesh Mehta,2020-06-11,Fire TV Stick,True,5.0,Amazon! Amazing!,"It’s a great device...my old TV is now smartTV thanks to fire TV stick
Hi speed streaming gives a great overall experience
Add to that prime videos has awesome collection
Amazon! Hats off
Satisfied with the purchase
Value for money!"
